program,version,task_clock_ms,cpus_utilized,context_switches,cpu_migrations,page_faults,instructions,ipc,cycles,ghz,branches,branch_misses,branch_misses_percent,tma_backend_bound,tma_bad_speculation,tma_frontend_bound,tma_retiring,time_elapsed_s,user_s,sys_s
atax,riscv_base,25.44,0.9306666666666666,5.333333333333333,0.6666666666666666,1065.0,69152600.33333333,1.7766666666666666,38956784.333333336,1.6283333333333334,12871403.0,268647.6666666667,2.0866666666666664,17.7,15.9,31.166666666666668,35.266666666666666,0.027246825666666665,0.022135666666666668,0.004934
atax,riscv_o2,28.476666666666667,0.941,5.666666666666667,0.3333333333333333,1066.0,68373427.66666667,1.74,39405376.333333336,1.386,12742885.666666666,269356.0,2.11,18.1,15.8,31.3,34.83333333333333,0.030253067999999998,0.021729666666666668,0.008246333333333333
atax,riscv_o3,28.94,0.942,8.0,0.0,1066.3333333333333,68383227.66666667,1.7933333333333334,38185555.0,1.3196666666666665,12745834.333333334,268049.3333333333,2.1,17.03333333333333,16.666666666666668,31.166666666666668,35.06666666666666,0.03071637433333333,0.023686333333333334,0.006866
atax,riscv_fma,29.063333333333333,0.944,6.333333333333333,0.0,1065.3333333333333,68055643.66666667,1.7933333333333334,37995827.333333336,1.308,12689877.0,265780.0,2.0933333333333333,16.633333333333333,16.033333333333335,31.7,35.6,0.030779037,0.023198666666666666,0.007258666666666667
fdtd-2d,default_x86,46.49,0.9666666666666667,5.333333333333333,0.0,1202.0,148564798.33333334,2.29,64842692.333333336,1.3946666666666667,24810660.0,388275.6666666667,1.5666666666666667,13.033333333333333,13.366666666666667,27.666666666666668,45.93333333333333,0.048099824,0.039125,0.008677333333333334
fdtd-2d,o2_x86,44.17666666666667,0.964,8.0,0.6666666666666666,1195.6666666666667,126087081.0,2.0933333333333333,60268744.333333336,1.3643333333333334,23726392.0,384822.3333333333,1.6233333333333333,12.533333333333333,14.033333333333333,31.0,42.43333333333333,0.045827727,0.03758566666666666,0.007787333333333334
fdtd-2d,o3_x86,46.35333333333333,0.9663333333333333,6.0,0.6666666666666666,1198.3333333333333,128452827.66666667,2.0166666666666666,63827392.0,1.3796666666666668,24192915.0,389626.6666666667,1.61,11.333333333333334,14.700000000000001,32.3,41.63333333333333,0.04796394933333333,0.040036,0.007595
fdtd-2d,riscv_base,44.82666666666667,0.9523333333333333,11.333333333333334,0.6666666666666666,1083.0,119200805.66666667,1.8699999999999999,66908008.0,1.4793333333333334,20824622.333333332,283159.3333333333,1.36,12.866666666666667,11.633333333333333,28.166666666666668,47.333333333333336,0.047066521666666666,0.035056333333333335,0.009961666666666667
fdtd-2d,riscv_o2,31.763333333333332,0.9153333333333333,12.666666666666666,0.6666666666666666,1079.3333333333333,104411289.0,2.0733333333333333,50426166.0,1.6103333333333334,19345167.666666668,289307.3333333333,1.4966666666666666,14.166666666666666,15.299999999999999,29.166666666666668,41.333333333333336,0.034636042,0.025633333333333334,0.007787666666666667
fdtd-2d,riscv_o3,42.806666666666665,0.9376666666666666,13.333333333333334,1.0,1082.3333333333333,105595868.66666667,1.9833333333333332,53354103.333333336,1.25,19493730.0,298470.3333333333,1.53,14.066666666666666,15.133333333333333,30.633333333333333,40.2,0.045749488,0.03376033333333334,0.009745
fdtd-2d,riscv_interchange,39.53,0.9453333333333334,10.0,1.0,1080.3333333333333,104599747.0,2.0233333333333334,51837257.0,1.3116666666666668,19299981.666666668,292897.6666666667,1.52,13.033333333333333,13.666666666666666,30.466666666666665,42.833333333333336,0.041856939,0.034813333333333335,0.006289333333333333
