program,version,task_clock_ms,cpus_utilized,context_switches,cpu_migrations,page_faults,instructions,ipc,cycles,ghz,branches,branch_misses,branch_misses_percent,tma_backend_bound,tma_bad_speculation,tma_frontend_bound,tma_retiring,time_elapsed_s,user_s,sys_s
gemm,default,5290.95,0.999,131.66666666666666,7.0,1509.6666666666667,52963066654.333336,3.5466666666666664,14927154000.0,2.8296666666666668,1337494929.3333333,1266295.3333333333,0.09333333333333334,25.53333333333333,7.1,0.0,67.39999999999999,5.2972682319999995,5.264851666666667,0.008579666666666666
gemm,o0,6130.593333333333,0.999,102.33333333333333,8.666666666666666,1509.3333333333333,52972036818.0,3.453333333333333,15359460445.0,2.5336666666666665,1339297615.3333333,1296915.0,0.09666666666666666,25.166666666666668,8.6,0.5333333333333333,65.73333333333333,6.137319636666667,6.082818333333334,0.008927666666666667
gemm,o3,1141.1933333333334,0.9983333333333333,16.666666666666668,1.3333333333333333,1510.3333333333333,5373718904.0,2.27,2363687974.3333335,2.072,668495983.6666666,1235373.0,0.18333333333333332,50.7,4.4,3.6,41.333333333333336,1.1433068296666666,1.1223496666666666,0.00921
gemm,ofast,1099.3266666666668,0.998,28.333333333333332,1.6666666666666667,1510.0,5373712277.333333,2.34,2298439551.6666665,2.0936666666666666,668490218.3333334,1233165.0,0.18,50.0,5.633333333333333,3.466666666666667,40.86666666666667,1.1016656893333334,1.078708,0.012169333333333332
gemver,default,86.84333333333333,0.9826666666666667,5.333333333333333,0.0,239.0,555230663.3333334,2.8733333333333335,193555949.33333334,2.284,16660663.0,16755.0,0.10333333333333333,33.43333333333334,2.5,3.3333333333333335,60.733333333333334,0.08843828766666667,0.080539,0.006954666666666667
gemver,o0,89.19,0.9833333333333333,6.666666666666667,0.3333333333333333,238.66666666666666,555300898.3333334,2.9133333333333336,190677350.0,2.146,16674233.333333334,16946.333333333332,0.1,33.4,2.2666666666666666,3.2333333333333334,61.2,0.09070377866666667,0.08587066666666666,0.0036083333333333336
gemver,o3,50.97,0.8706666666666667,8.0,0.0,239.66666666666666,142903410.33333334,1.8433333333333333,79550929.33333333,1.5523333333333333,11602394.0,16567.666666666668,0.14333333333333334,50.8,3.2,4.866666666666666,41.13333333333333,0.06164362166666667,0.04624,0.005302
gemver,ofast,50.03666666666667,0.9793333333333333,5.0,0.0,238.33333333333334,142841049.0,1.91,76471276.33333333,1.5243333333333333,11590023.666666666,16130.666666666666,0.14,51.53333333333333,2.7,4.6,41.166666666666664,0.051085570000000004,0.04410066666666666,0.006517666666666667
jacobi-2d,default,10835.143333333333,0.9993333333333333,182.33333333333334,10.333333333333334,1038.6666666666667,106313937392.66667,3.5233333333333334,30205675577.0,2.7896666666666667,1706793629.6666667,1427324.0,0.08,23.266666666666666,10.066666666666666,1.0,65.66666666666667,10.841540957666666,10.793254,0.008832333333333334
jacobi-2d,o0,11186.27,0.999,285.3333333333333,20.333333333333332,1039.3333333333333,106319586720.33333,3.4699999999999998,30655651293.333332,2.7493333333333334,1708029539.6666667,1437212.0,0.08333333333333333,22.166666666666668,14.366666666666667,1.2666666666666666,62.2,11.19952059,11.118391,0.01152
jacobi-2d,o3,3292.5466666666666,0.9973333333333333,178.33333333333334,12.0,1039.0,11858590447.333334,1.4966666666666666,7928943333.666667,2.409,851769172.3333334,1355941.6666666667,0.16,58.06666666666667,13.633333333333333,4.1,24.233333333333334,3.301676663,3.2540353333333334,0.009984
jacobi-2d,ofast,3247.26,0.9986666666666667,62.333333333333336,5.0,1038.3333333333333,11857980480.333334,1.4866666666666666,7982131926.0,2.458,851641591.0,1351866.3333333333,0.16,61.56666666666667,8.7,4.166666666666667,25.566666666666666,3.2511224766666666,3.21478,0.007808000000000001
